constant,p_0,Std_p_0,p_1,Std_p_1,R2,y_r
E_avgLL,19.377902457280378,1.9119482108720984,-0.0036436366458421077,0.7064145861106393,0.0917921785058936,3.5427679103831373
E_avgRL,19.999999999808157,0.3781889389064957,-0.0027434581946410574,1.1282614508583024,-0.132177786739738,4.953607943725292
E_avgRR,18.344882122319692,0.586464013583205,-0.01621761489238338,0.38414924637692005,0.6878854043155038,5.603307214150977
E_avgRT,17.518507773575838,1.8907670794949953,-0.03121109303289371,0.5803530549141007,0.4901306937265616,4.7186981579873155
E_avgTL,18.949556366600127,0.8826226630024997,-0.011374896373697485,0.6648203190810884,0.48196100070132897,7.143196682771219
E_avgTT,18.425811029055964,0.6953466966883917,-0.013065560521705155,0.4601034660730945,0.5837333502580709,4.895252254637288
E_cLL,12.7908937738908,0.5284669916204936,-1.3502994281869798,0.44592512498232073,0.82908620243528,1.8061898210595508
E_cRL,17.30865953616412,5.804708228855325,-0.027212666793201556,0.8900581492288034,0.4867422272408056,3.338898707026452
E_cRR,17.483477127773106,1.399959055084704,-0.020056335526263736,0.2699721337494459,0.7077432809915742,2.927853941356794
E_cRT,17.01817009664246,2.758890915220702,-0.055648446075822644,0.6908601342064379,0.7493002120852879,5.087095651417414
E_cTL,17.036942454372515,3.7635321701569553,-0.07419904547018952,0.9320519370356104,0.7085161857085842,6.912606001594469
E_cTT,18.7617549523828,1.2606893427519776,-0.004917372287723376,0.4564100452578891,0.44989405982139374,2.57723792724612
E_tLL,17.64235554078819,6.4966902988092174,-0.020772897725064965,1.111984416799635,0.22343112445464386,3.553246005855428
E_tRL,10.000000000012186,2.193788240477434,-2.1398563036687017,3.3805847024447817,0.21579019183978354,0.17563915900344718
E_tRR,17.19006294104858,1.8506330394082215,-0.06627771126464443,0.7919525945181258,0.8234069481021004,7.208545918890994
E_tRT,17.569920177513332,3.7087023606958183,-0.024372063020306367,0.8989418822182533,0.32309801192786625,3.879696666336592
E_tTL,17.723656673282683,12.433695383771775,-0.006596234884633345,0.7722908575855931,0.06505898912200847,1.2248868072692254
E_tTT,17.003140170605263,2.204781204685951,-0.06435678571025472,0.7431747007279821,0.7365208821302494,5.810336415996076
G_LR,19.321285686756873,1.1127656564169326,-0.004035326232759928,0.532767665192205,0.2083913207143948,3.7009911468102814
G_LT,18.525103523912996,0.8100766301239845,-0.010077921930270684,0.3336775697944627,0.594865332975232,4.168922847035688
G_RL,19.0943957391893,0.8608607599561998,-0.003375140945754307,0.2782347167585298,0.41609358909748806,2.467067679118742
G_RT,18.355617779122838,0.642263590260642,-0.03517513203332845,0.8432227311134931,0.7408701191329141,12.389806680770246
G_TL,19.117260262816966,0.5422677318163109,-0.0058526809053789375,0.354724569034048,0.614643206017012,4.3713344180618705
G_TR,17.976417176174962,0.7032231798055808,-0.04113215141918225,0.5944034948416171,0.7899392347796328,9.826951359556123
G_avgRL,19.25477500794491,0.7009321081119405,-0.0036492618545942435,0.29001727416472506,0.2767840169809851,3.1289812716972136
G_avgRT,18.276016495400047,0.4273292698626247,-0.035402070506574734,0.4990890409442303,0.7609112365749544,11.50690412957345
G_avgTL,19.01481296476655,0.39442359312557057,-0.006629358174861988,0.23244801645461036,0.6034271482748632,4.478047571184241
