rh,direction,component,number
35.0,cLx,exx,3
35.0,cLx,eyy,2
35.0,cR,exx,2
35.0,cR,eyy,4
35.0,cT,exx,2
35.0,cT,eyy,3
35.0,sLR,exy,6
35.0,sLT,exy,7
35.0,sRL,exy,7
35.0,sRT,exy,7
35.0,sTL,exy,6
35.0,sTR,exy,6
35.0,tLx,exx,4
35.0,tLx,eyy,3
35.0,tR,exx,1
35.0,tR,eyy,2
35.0,tT,exx,4
35.0,tT,eyy,3
65.0,cLx,exx,3
65.0,cLx,eyy,3
65.0,cR,exx,2
65.0,cR,eyy,5
65.0,cT,exx,3
65.0,cT,eyy,3
65.0,sLR,exy,4
65.0,sLT,exy,4
65.0,sRL,exy,4
65.0,sRT,exy,4
65.0,sTL,exy,3
65.0,sTR,exy,4
65.0,tLx,exx,2
65.0,tLx,eyy,3
65.0,tR,exx,3
65.0,tR,eyy,3
65.0,tT,exx,3
65.0,tT,eyy,3
90.0,cLx,exx,2
90.0,cLx,eyy,1
90.0,cR,exx,1
90.0,cR,eyy,3
90.0,cT,exx,2
90.0,cT,eyy,3
90.0,sLR,exy,3
90.0,sLT,exy,3
90.0,sRL,exy,4
90.0,sRT,exy,4
90.0,sTL,exy,4
90.0,sTR,exy,3
90.0,tLx,exx,1
90.0,tLx,eyy,1
90.0,tR,exx,2
90.0,tR,eyy,3
90.0,tT,exx,2
90.0,tT,eyy,4
